Platform,Type,Firm,Released,Units sold,Ref.
PS2,Home,Sony,2000,155,
DS,Handheld,Nintendo,2004,154.02,
Nintendo Switch #,Hybrid,Nintendo,2017,122.55,
Game Boy & Game Boy Color,Handheld,Nintendo,"1989, 1998",118.69,
PS4,Home,Sony,2013,117.2,
PlayStation,Home,Sony,1994,102.49,
Wii,Home,Nintendo,2006,101.63,
PS3,Home,Sony,2006,87.4,
X360,Home,Microsoft,2005,84,
GBA,Handheld,Nintendo,2001,81.51,
PSP,Handheld,Sony,2004,80,
3DS,Handheld,Nintendo,2011,75.94,
NES/Famicom,Home,Nintendo,1983,61.91,
XOne,Home,Microsoft,2013,51,
SNES/Super Famicom,Home,Nintendo,1990,49.1,
Game & Watch,Handheld,Nintendo,1980,43.4,
Nintendo 64,Home,Nintendo,1996,32.93,
Sega Genesis/Mega Drive,Home,Sega,1988,30.75,
PlayStation 5 #,Home,Sony,2020,30,
Atari 2600,Home,Atari,1977,30,
XB,Home,Microsoft,2001,24,
GC,Home,Nintendo,2001,21.74,
Quest 2 #,VR Headset,Reality Labs / Meta,2020,20,
Xbox Series X/S #,Home,Microsoft,2020,18.5,
WiiU,Home,Nintendo,2012,13.56,
PSV,Handheld,Sony,2011,10,
Sega Master System,Home,Sega,1986,10,
Sega Game Gear,Handheld,Sega,1990,10,
PC,Home,NEC/Hudson Soft,1987,10,
Sega Saturn,Home,Sega,1994,9.26,
DC,Home,Sega,1998,9.13,
Master System (Brazilian variants),Home,Tectoy,1989,8,
Dendy (Famiclone),Home,Micro Genius,1992,6,
Super NES Classic Edition,Dedicated,Nintendo,2017,5.28,
Famicom Disk System  •,Home console add-on,Nintendo,1986,4.5,
NES Classic Edition,Dedicated,Nintendo,2016,3.56,
WonderSwan,Handheld,Bandai,1999,3.5,
Sega Pico,Home,Sega,1993,3.4,
Color TV-Game,Dedicated,Nintendo,1977,3,
Intellivision,Home,Mattel,1980,3,
Mega Drive (Brazilian variants),Home,Tectoy,1990,3,
N-Gage,Handheld,Nokia,2003,3,
Sega CD  •,Home console add-on,Sega,1991,2.24,
ColecoVision,Home,Coleco,1982,2,
Magnavox Odyssey²,Home,Magnavox/Philips,1978,2,
PC Engine CD-ROM²  •,Home console add-on,NEC,1988,1.92,
Oculus Quest,VR Headset,Oculus,2019,1,
Atari 7800,Home,Atari,1986,1,
Atari Lynx,Handheld,Atari,1989,1,
Philips CD-i,Home,Philips,1990,1,
Telstar,Dedicated,Coleco,1976,1,
Atari 5200,Home,Atari,1982,1,
